index,mom_x,mom_y,mom_z
79,0.000013713517906788342,0.000012486129864761374,-4.410657572964296e-7
80,0.000013605806541460271,0.000012582234833372745,-4.0916037045361077e-7
81,0.000013500930121192153,0.000012674883959492281,-3.766172818782437e-7
82,0.000013400267983639745,0.000012758867798369331,-3.4532870191769925e-7
83,0.00001330178686502853,0.000012835166187063105,-3.174989170630069e-7
84,0.000013203773554701376,0.000012908382446306663,-2.9548452739931135e-7
85,0.000013102223534962775,0.000012987731871337666,-2.785857192695414e-7
86,0.000012996237409245926,0.000013077047977335158,-2.6512846765006183e-7
87,0.000012891971832586853,0.000013169585555312309,-2.580166255054562e-7
88,0.000012795967252054686,0.000013256528908483447,-2.622000366358969e-7
89,0.00001271129848403559,0.000013335294920929075,-2.7679894184421896e-7
90,0.00001263365666676926,0.00001341078864201428,-2.957845332028969e-7
